hour,month,seasonal_mean,regime
14,11,0.9173333333333333,regime_1
14,12,0.0,regime_1
15,1,0.0,regime_1
15,2,0.0034545454545454545,regime_1
15,3,0.0031451612903225807,regime_1
15,4,0.10808333333333334,regime_1
15,5,5.01508064516129,regime_1
15,6,22.687416666666667,regime_1
15,7,28.34741935483871,regime_1
15,8,31.58725806451613,regime_1
15,9,4.322583333333333,regime_1
15,10,4.699999999999999,regime_1
15,11,0.5649166666666667,regime_1
15,12,0.0,regime_1
16,1,0.00016129032258064516,regime_1
16,2,0.033045454545454545,regime_1
16,3,0.012258064516129033,regime_1
16,4,0.162,regime_1
16,5,10.514838709677418,regime_1
16,6,19.456166666666665,regime_1
16,7,56.10935483870968,regime_1
16,8,30.93516129032258,regime_1
16,9,6.478,regime_1
16,10,4.357741935483871,regime_1
16,11,0.7235833333333334,regime_1
16,12,0.0,regime_1
17,1,0.0472983870967742,regime_1
17,2,0.08581818181818181,regime_1
17,3,0.008870967741935484,regime_1
17,4,0.18316666666666667,regime_1
17,5,5.166451612903225,regime_1
17,6,5.28625,regime_1
17,7,38.22556451612903,regime_1
17,8,7.238306451612904,regime_1
17,9,2.2415000000000003,regime_1
17,10,0.43088709677419357,regime_1
17,11,0.784,regime_1
17,12,0.00016129032258064516,regime_1
18,1,0.25116935483870967,regime_1
18,2,0.013500000000000002,regime_1
18,3,0.006209677419354838,regime_1
18,4,0.06066666666666667,regime_1
18,5,0.11967741935483871,regime_1
18,6,0.02975,regime_1
18,7,2.509435483870968,regime_1
18,8,0.5535483870967742,regime_1
18,9,0.22408333333333333,regime_1
18,10,0.06346774193548387,regime_1
18,11,2.2847500000000003,regime_1
18,12,0.0,regime_1
19,1,0.24991935483870967,regime_1
19,2,0.0011363636363636363,regime_1
19,3,0.012338709677419355,regime_1
19,4,0.009833333333333333,regime_1
19,5,0.012983870967741935,regime_1
19,6,0.00025,regime_1
19,7,0.5344354838709678,regime_1
19,8,0.022016129032258063,regime_1
19,9,0.2519166666666667,regime_1
19,10,0.21951612903225806,regime_1
19,11,0.18925,regime_1
19,12,0.0,regime_1
20,1,0.20661290322580647,regime_1
20,2,0.0095,regime_1
20,3,0.007741935483870969,regime_1
20,4,0.027083333333333334,regime_1
20,5,0.0275,regime_1
20,6,0.00025,regime_1
20,7,0.03661290322580645,regime_1
20,8,0.002096774193548387,regime_1
20,9,0.12166666666666666,regime_1
20,10,0.10040322580645163,regime_1
20,11,0.04383333333333333,regime_1
20,12,0.0,regime_1
21,1,0.06177419354838709,regime_1
21,2,0.001,regime_1
21,3,0.0014516129032258066,regime_1
21,4,0.07466666666666667,regime_1
21,5,0.0011290322580645162,regime_1
21,6,0.0017500000000000003,regime_1
21,7,0.0023387096774193546,regime_1
21,8,0.0,regime_1
21,9,0.009083333333333334,regime_1
21,10,0.020806451612903225,regime_1
21,11,0.004,regime_1
21,12,0.0,regime_1
22,1,0.0013306451612903226,regime_1
22,2,0.0,regime_1
22,3,8.064516129032258e-05,regime_1
22,4,0.0032500000000000003,regime_1
22,5,0.00016129032258064516,regime_1
22,6,0.0,regime_1
22,7,0.00016129032258064516,regime_1
22,8,0.0,regime_1
22,9,0.0,regime_1
22,10,0.00024193548387096774,regime_1
22,11,0.0035000000000000005,regime_1
22,12,0.0,regime_1
23,1,0.0,regime_1
23,2,0.0,regime_1
23,3,0.0,regime_1
23,4,0.0004166666666666667,regime_1
23,5,0.001209677419354839,regime_1
23,6,0.0,regime_1
23,7,0.0,regime_1
23,8,0.0,regime_1
23,9,0.0,regime_1
23,10,0.00024193548387096777,regime_1
23,11,0.0,regime_1
23,12,0.0,regime_1
0,1,0.0022580645161290325,regime_2
0,2,0.0,regime_2
0,3,0.04838709677419355,regime_2
0,4,0.0008888888888888889,regime_2
0,5,0.00018817204301075272,regime_2
0,6,8.333333333333333e-05,regime_2
0,7,0.0,regime_2
0,8,0.0,regime_2
0,9,0.0,regime_2
0,10,0.004489247311827958,regime_2
0,11,0.016722222222222225,regime_2
0,12,0.0004607046070460705,regime_2
1,1,0.0007661290322580645,regime_2
1,2,0.0,regime_2
1,3,0.004489247311827958,regime_2
1,4,0.01125,regime_2
1,5,0.0,regime_2
1,6,0.0,regime_2
1,7,0.0,regime_2
1,8,0.0,regime_2
1,9,0.0,regime_2
1,10,0.00016129032258064516,regime_2
1,11,0.004946236559139785,regime_2
1,12,0.00029891304347826086,regime_2
2,1,0.00012096774193548387,regime_2
2,2,0.0,regime_2
2,3,0.00041666666666666675,regime_2
2,4,0.008805555555555556,regime_2
2,5,0.0,regime_2
2,6,0.0,regime_2
2,7,0.0,regime_2
2,8,0.0,regime_2
2,9,0.0,regime_2
2,10,0.0,regime_2
2,11,0.009555555555555555,regime_2
2,12,0.0,regime_2
3,1,8.064516129032258e-05,regime_2
3,2,0.0,regime_2
3,3,0.0009408602150537634,regime_2
3,4,0.0029444444444444444,regime_2
3,5,0.0,regime_2
3,6,0.0,regime_2
3,7,0.0,regime_2
3,8,0.0,regime_2
3,9,0.0,regime_2
3,10,0.0,regime_2
3,11,0.007805555555555556,regime_2
3,12,0.0,regime_2
4,1,4.032258064516129e-05,regime_2
4,2,0.0,regime_2
4,3,0.003709677419354839,regime_2
4,4,0.0028055555555555555,regime_2
4,5,0.004811827956989248,regime_2
4,6,0.0,regime_2
4,7,0.0,regime_2
4,8,0.0,regime_2
4,9,0.0,regime_2
4,10,0.0,regime_2
4,11,0.017972222222222223,regime_2
4,12,0.0,regime_2
5,1,0.0,regime_2
5,2,0.0009574468085106384,regime_2
5,3,0.004408602150537634,regime_2
5,4,0.0020833333333333333,regime_2
5,5,0.004166666666666667,regime_2
5,6,0.0,regime_2
5,7,0.0,regime_2
5,8,0.0,regime_2
5,9,0.0,regime_2
5,10,0.0,regime_2
5,11,0.004611111111111111,regime_2
5,12,0.0,regime_2
6,1,0.014435483870967743,regime_2
6,2,0.14824468085106382,regime_2
6,3,0.9938440860215053,regime_2
6,4,0.24708333333333335,regime_2
6,5,0.00010752688172043011,regime_2
6,6,0.0,regime_2
6,7,0.0,regime_2
6,8,0.0,regime_2
6,9,0.0,regime_2
6,10,0.035483870967741936,regime_2
6,11,0.00875,regime_2
6,12,0.027717391304347826,regime_2
7,1,0.0703225806451613,regime_2
7,2,0.42606382978723406,regime_2
7,3,1.77744623655914,regime_2
7,4,0.35405555555555557,regime_2
7,5,0.004032258064516129,regime_2
7,6,2.777777777777778e-05,regime_2
7,7,0.0,regime_2
7,8,0.0,regime_2
7,9,0.0,regime_2
7,10,0.19016129032258064,regime_2
7,11,0.016,regime_2
7,12,0.2528804347826087,regime_2
8,1,0.11201612903225806,regime_2
8,2,0.14845744680851064,regime_2
8,3,0.39327956989247315,regime_2
8,4,0.04036111111111111,regime_2
8,5,0.008064516129032258,regime_2
8,6,0.0003333333333333333,regime_2
8,7,0.0,regime_2
8,8,0.0,regime_2
8,9,0.0,regime_2
8,10,0.07879032258064515,regime_2
8,11,0.05377777777777778,regime_2
8,12,0.04608695652173913,regime_2
9,1,0.028266129032258065,regime_2
9,2,0.1173936170212766,regime_2
9,3,0.32314516129032256,regime_2
9,4,0.03961111111111111,regime_2
9,5,0.004112903225806452,regime_2
9,6,0.0,regime_2
9,7,0.0,regime_2
9,8,0.0,regime_2
9,9,0.005194444444444445,regime_2
9,10,0.03365591397849462,regime_2
9,11,0.10911111111111112,regime_2
9,12,0.013804347826086957,regime_2
10,1,0.008870967741935484,regime_2
10,2,0.09340425531914895,regime_2
10,3,0.10344086021505375,regime_2
10,4,0.025944444444444444,regime_2
10,5,0.016854838709677418,regime_2
10,6,0.0006388888888888888,regime_2
10,7,0.000564516129032258,regime_2
10,8,0.0,regime_2
10,9,0.005472222222222223,regime_2
10,10,0.10747311827956989,regime_2
10,11,0.30916666666666665,regime_2
10,12,0.013423913043478262,regime_2
